filename,clean_width_mm,clean_class,shadowed_width_mm,shadowed_class,restored_width_mm,restored_class
00060,5.015974481593782,Heavy Crack,17.72004514666935,Heavy Crack,3.4000000000000004,Heavy Crack
00061,7.683749084919419,Heavy Crack,15.98499296215047,Heavy Crack,3.3286633954186478,Heavy Crack
00062,7.655063683601856,Heavy Crack,17.08800749063506,Heavy Crack,4.6173585522460785,Heavy Crack
00063,9.915644204992432,Heavy Crack,17.33666634621547,Heavy Crack,2.973213749463701,Heavy Crack
00064,8.683317338436964,Heavy Crack,18.701871564097537,Heavy Crack,3.3105890714493698,Heavy Crack
00065,6.4,Heavy Crack,20.223748416156685,Heavy Crack,3.7947331922020555,Heavy Crack
00066,7.076722405181653,Heavy Crack,16.80238078368658,Heavy Crack,2.6305892875931813,Heavy Crack
00067,10.742439201596628,Heavy Crack,22.475764725588316,Heavy Crack,2.95296461204668,Heavy Crack
00068,6.161168720299745,Heavy Crack,18.435834670553977,Heavy Crack,6.4,Heavy Crack
00069,8.072174428244226,Heavy Crack,19.924858845171276,Heavy Crack,3.130495168499706,Heavy Crack
00070,8.411896337925237,Heavy Crack,16.690116836020053,Heavy Crack,3.1622776601683795,Heavy Crack
00071,12.003332870498927,Heavy Crack,18.309560344257317,Heavy Crack,2.4166091947189146,Heavy Crack
00072,7.696752561957543,Heavy Crack,18.24828759089466,Heavy Crack,2.863564212655271,Heavy Crack
00073,8.06225774829855,Heavy Crack,23.369210512980537,Heavy Crack,2.8284271247461903,Heavy Crack
00074,7.96994353806851,Heavy Crack,13.810141201305655,Heavy Crack,2.4738633753705965,Heavy Crack
00075,11.030865786510141,Heavy Crack,18.00444389588304,Heavy Crack,2.6,Heavy Crack
00076,6.905070600652827,Heavy Crack,17.055204484262273,Heavy Crack,3.7735924528226414,Heavy Crack
00077,8.4,Heavy Crack,17.21859460002471,Heavy Crack,2.668332812825267,Heavy Crack
00078,5.385164807134505,Heavy Crack,15.132745950421558,Heavy Crack,4.6000000000000005,Heavy Crack
00079,3.3105890714493698,Heavy Crack,16.593974810153235,Heavy Crack,3.4985711369071804,Heavy Crack
00080,3.3286633954186478,Heavy Crack,16.33768649472746,Heavy Crack,3.4985711369071804,Heavy Crack
00081,4.0,Heavy Crack,14.7648230602334,Heavy Crack,3.736308338453881,Heavy Crack
00082,5.0,Heavy Crack,13.225732493892352,Heavy Crack,3.4176014981270124,Heavy Crack
00083,2.433105012119288,Heavy Crack,16.4304595188327,Heavy Crack,2.3409399821439254,Heavy Crack
00084,3.6715119501371642,Heavy Crack,13.152946437965907,Heavy Crack,3.006659275674582,Heavy Crack
00085,3.2557641192199416,Heavy Crack,16.35726138447387,Heavy Crack,3.440930106817051,Heavy Crack
00086,3.2310988842807022,Heavy Crack,14.440221604947759,Heavy Crack,3.0,Heavy Crack
00087,3.2557641192199416,Heavy Crack,14.160508465447137,Heavy Crack,3.440930106817051,Heavy Crack
00088,3.8418745424597094,Heavy Crack,14.512063946937388,Heavy Crack,2.23606797749979,Heavy Crack
00089,3.676955262170047,Heavy Crack,15.758172482873768,Heavy Crack,2.529822128134704,Heavy Crack
00090,2.0,Medium Crack,16.747537132366656,Heavy Crack,1.8867962264113207,Medium Crack
00091,2.2627416997969525,Heavy Crack,13.892443989449806,Heavy Crack,2.0591260281974004,Heavy Crack
00092,3.2249030993194197,Heavy Crack,17.804493814764857,Heavy Crack,3.2802438933713454,Heavy Crack
00093,3.8470768123342687,Heavy Crack,15.504837954651444,Heavy Crack,2.973213749463701,Heavy Crack
00094,3.3286633954186478,Heavy Crack,14.120906486483083,Heavy Crack,3.2984845004941286,Heavy Crack
00095,3.3286633954186478,Heavy Crack,15.435025105259792,Heavy Crack,3.1622776601683795,Heavy Crack
00096,5.90592922409336,Heavy Crack,16.772596698186003,Heavy Crack,3.2062439083762797,Heavy Crack
00097,6.356099432828282,Heavy Crack,15.190786681406596,Heavy Crack,3.405877273185281,Heavy Crack
00098,4.951767361255979,Heavy Crack,18.309560344257317,Heavy Crack,3.6,Heavy Crack
00099,4.118252056394801,Heavy Crack,17.40919297382851,Heavy Crack,3.0594117081556713,Heavy Crack
00100,3.4176014981270124,Heavy Crack,19.880643852752858,Heavy Crack,3.2062439083762797,Heavy Crack
00101,2.6907248094147422,Heavy Crack,14.018559127100046,Heavy Crack,6.723094525588644,Heavy Crack
00102,2.0,Medium Crack,18.137254478007417,Heavy Crack,1.969771560359221,Medium Crack
00103,2.9120439557122073,Heavy Crack,15.861904047118683,Heavy Crack,3.0463092423455636,Heavy Crack
00104,4.418144406874904,Heavy Crack,14.494136745594751,Heavy Crack,4.669047011971501,Heavy Crack
00105,2.12602916254693,Heavy Crack,16.131955864060625,Heavy Crack,2.6305892875931813,Heavy Crack
00106,6.0,Heavy Crack,15.709869509324387,Heavy Crack,3.88329756778952,Heavy Crack
00107,8.6,Heavy Crack,13.0,Heavy Crack,5.841232746604094,Heavy Crack
00108,8.089499366462674,Heavy Crack,14.720054347725759,Heavy Crack,3.736308338453881,Heavy Crack
00109,4.720169488482379,Heavy Crack,18.86796226411321,Heavy Crack,3.8470768123342687,Heavy Crack
00110,4.0,Heavy Crack,15.951175505272332,Heavy Crack,4.123105625617661,Heavy Crack
00111,4.404543109109048,Heavy Crack,16.92926460304759,Heavy Crack,3.7947331922020555,Heavy Crack
00112,4.418144406874904,Heavy Crack,17.36663467687393,Heavy Crack,3.7735924528226414,Heavy Crack
00113,4.6173585522460785,Heavy Crack,16.92572007330855,Heavy Crack,3.2249030993194197,Heavy Crack
00114,4.565084884205331,Heavy Crack,15.311433636338563,Heavy Crack,3.687817782917155,Heavy Crack
00115,4.651881339845203,Heavy Crack,19.53458471531965,Heavy Crack,2.8284271247461903,Heavy Crack
00116,6.873136110975833,Heavy Crack,21.927152117865194,Heavy Crack,2.785677655436824,Heavy Crack
00117,6.80294054067798,Heavy Crack,17.085666507338836,Heavy Crack,4.2,Heavy Crack
00118,5.720139858430037,Heavy Crack,16.211107303327555,Heavy Crack,3.88329756778952,Heavy Crack
00119,6.723094525588644,Heavy Crack,15.033296378372908,Heavy Crack,3.4525353003264136,Heavy Crack
00120,4.8373546489791295,Heavy Crack,18.18130908378162,Heavy Crack,3.54400902933387,Heavy Crack
00121,7.4,Heavy Crack,17.095028517086483,Heavy Crack,3.622154055254967,Heavy Crack
00122,8.0,Heavy Crack,18.552627846210896,Heavy Crack,3.9698866482558417,Heavy Crack
00123,8.002499609497022,Heavy Crack,24.40491753725056,Heavy Crack,4.753945729601885,Heavy Crack
00124,9.4,Heavy Crack,15.16047492659778,Heavy Crack,4.308131845707603,Heavy Crack
00125,7.3348483283569,Heavy Crack,16.204937519163717,Heavy Crack,3.7735924528226414,Heavy Crack
00126,9.503683496413379,Heavy Crack,20.655265672462313,Heavy Crack,2.4083189157584592,Heavy Crack
00127,3.0528675044947495,Heavy Crack,15.840454538932903,Heavy Crack,3.2984845004941286,Heavy Crack
00128,6.003332407921454,Heavy Crack,18.885973631242845,Heavy Crack,3.394112549695428,Heavy Crack
00129,5.571355310873648,Heavy Crack,17.928747864811978,Heavy Crack,3.9293765408777,Heavy Crack
00130,7.2277243998370615,Heavy Crack,17.364331256918593,Heavy Crack,3.111269837220809,Heavy Crack
00131,7.1693793315739685,Heavy Crack,15.929846201391904,Heavy Crack,5.0039984012787215,Heavy Crack
00132,6.887670143089025,Heavy Crack,17.095028517086483,Heavy Crack,5.0039984012787215,Heavy Crack
00133,4.39089968002003,Heavy Crack,19.428844535895593,Heavy Crack,3.1622776601683795,Heavy Crack
00134,5.0,Heavy Crack,15.648642113614844,Heavy Crack,3.687817782917155,Heavy Crack
00135,4.560701700396552,Heavy Crack,16.98116603770189,Heavy Crack,3.4985711369071804,Heavy Crack
00136,3.0528675044947495,Heavy Crack,15.658863304850707,Heavy Crack,3.4000000000000004,Heavy Crack
00137,4.8166378315169185,Heavy Crack,17.28004629623428,Heavy Crack,3.2557641192199416,Heavy Crack
00138,3.1240998703626617,Heavy Crack,14.261837188805655,Heavy Crack,3.2557641192199416,Heavy Crack
00139,5.047771785649585,Heavy Crack,17.255723688098396,Heavy Crack,3.687817782917155,Heavy Crack
00140,5.280151512977635,Heavy Crack,16.868906307167634,Heavy Crack,4.418144406874904,Heavy Crack
00141,2.863564212655271,Heavy Crack,15.332318807016765,Heavy Crack,2.778488797889961,Heavy Crack
00142,2.973213749463701,Heavy Crack,13.588230201170425,Heavy Crack,5.0,Heavy Crack
00143,2.778488797889961,Heavy Crack,19.46175737183053,Heavy Crack,2.5455844122715714,Heavy Crack
00144,3.82099463490856,Heavy Crack,14.612323566086264,Heavy Crack,2.973213749463701,Heavy Crack
00145,6.449806198638839,Heavy Crack,16.880758276807352,Heavy Crack,4.049691346263318,Heavy Crack
00146,8.032434251209281,Heavy Crack,22.635370551417974,Heavy Crack,4.5694638635183455,Heavy Crack
00147,1.341640786499874,Medium Crack,12.006664815842909,Heavy Crack,5.21536192416212,Heavy Crack
00148,1.4142135623730951,Medium Crack,15.0,Heavy Crack,1.6492422502470643,Medium Crack
00149,6.55133574166368,Heavy Crack,17.681628884240276,Heavy Crack,3.720215047547655,Heavy Crack
00150,4.079215610874228,Heavy Crack,9.808159868191384,Heavy Crack,3.394112549695428,Heavy Crack
