filename,clean_width_mm,clean_class,blurred_width_mm,blurred_class,restored_width_mm,restored_class
00234,4.024922359499622,Heavy Crack,9.633275663033837,Heavy Crack,2.778488797889961,Heavy Crack
00235,5.571355310873648,Heavy Crack,9.92975326984513,Heavy Crack,3.492849839314596,Heavy Crack
00236,4.118252056394801,Heavy Crack,10.280077820717118,Heavy Crack,3.0463092423455636,Heavy Crack
00237,4.386342439892262,Heavy Crack,4.947726750741193,Heavy Crack,4.494441010848846,Heavy Crack
00238,3.687817782917155,Heavy Crack,11.627553482998907,Heavy Crack,3.577708763999664,Heavy Crack
00239,3.3105890714493698,Heavy Crack,7.615773105863909,Heavy Crack,3.4000000000000004,Heavy Crack
00240,4.219004621945798,Heavy Crack,16.150541786577936,Heavy Crack,2.6305892875931813,Heavy Crack
00241,4.0,Heavy Crack,11.157060544785082,Heavy Crack,3.4000000000000004,Heavy Crack
00242,5.546169849544819,Heavy Crack,6.0,Heavy Crack,5.758472019555188,Heavy Crack
00243,3.1622776601683795,Heavy Crack,5.946427498927402,Heavy Crack,3.2,Heavy Crack
00244,5.458937625582473,Heavy Crack,6.0,Heavy Crack,5.0039984012787215,Heavy Crack
00245,4.242640687119286,Heavy Crack,11.59655121145938,Heavy Crack,4.242640687119286,Heavy Crack
00246,5.325410782277739,Heavy Crack,6.0,Heavy Crack,5.1613951602255765,Heavy Crack
00247,3.6715119501371642,Heavy Crack,4.294182110716778,Heavy Crack,3.736308338453881,Heavy Crack
00248,2.280350850198276,Heavy Crack,4.123105625617661,Heavy Crack,1.9798989873223332,Medium Crack
00249,2.778488797889961,Heavy Crack,5.800000000000001,Heavy Crack,2.505992817228334,Heavy Crack
00250,2.778488797889961,Heavy Crack,7.467261881037789,Heavy Crack,2.60768096208106,Heavy Crack
00251,2.0591260281974004,Heavy Crack,7.694153624668537,Heavy Crack,1.8867962264113207,Medium Crack
00252,2.973213749463701,Heavy Crack,6.905070600652827,Heavy Crack,3.0,Heavy Crack
00253,3.0463092423455636,Heavy Crack,8.35463942968217,Heavy Crack,2.863564212655271,Heavy Crack
00254,5.21536192416212,Heavy Crack,11.00727032465361,Heavy Crack,2.4083189157584592,Heavy Crack
00255,5.0,Heavy Crack,15.709869509324387,Heavy Crack,2.4000000000000004,Heavy Crack
00256,5.099019513592785,Heavy Crack,11.682465493208188,Heavy Crack,2.0591260281974004,Heavy Crack
00257,3.0528675044947495,Heavy Crack,10.19803902718557,Heavy Crack,2.0,Medium Crack
00258,2.863564212655271,Heavy Crack,10.63202708800161,Heavy Crack,1.8,Medium Crack
00259,3.3105890714493698,Heavy Crack,5.403702434442518,Heavy Crack,2.8844410203711917,Heavy Crack
00260,2.6907248094147422,Heavy Crack,4.219004621945798,Heavy Crack,3.0265491900843116,Heavy Crack
00261,4.044749683231337,Heavy Crack,4.4,Heavy Crack,4.17612260356422,Heavy Crack
00262,2.529822128134704,Heavy Crack,5.21536192416212,Heavy Crack,2.12602916254693,Heavy Crack
00263,3.7735924528226414,Heavy Crack,9.368030742904295,Heavy Crack,2.3409399821439254,Heavy Crack
